algo,timingFullProtocol,timingProcessServerHello,timingWriteClientHello,timingWriteKEMCiphertext
Kyber512,426.448893,0.015122,0.120106,0.015122
Kyber512,425.899379,0.016542,0.118804,0.016542
Kyber512,426.275086,0.013311,0.135197,0.013311
Kyber512,425.203337,0.013563,0.140542,0.013563
Kyber512,426.148120,0.013884,0.119091,0.013884
Kyber512,425.646028,0.016751,0.155116,0.016751
Kyber512,425.894972,0.018723,0.128213,0.018723
Kyber512,426.800960,0.014944,0.121411,0.014944
Kyber512,426.305591,0.013428,0.114021,0.013428
Kyber512,427.023810,0.017467,0.119219,0.017467
Kyber512,426.379866,0.016682,0.128239,0.016682
Kyber512,426.019454,0.014763,0.119112,0.014763
Kyber512,426.265842,0.017396,0.117629,0.017396
Kyber512,427.076794,0.018093,0.129019,0.018093
Kyber512,426.915103,0.015513,0.118197,0.015513
Kyber512,426.673496,0.013732,0.126019,0.013732
Kyber512,426.448434,0.018050,0.149545,0.018050
Kyber512,426.611505,0.014305,0.128534,0.014305
Kyber512,426.071339,0.010986,0.144896,0.010986
Kyber512,427.126859,0.012418,0.114411,0.012418
Kyber512,426.884147,0.017360,0.122332,0.017360
Kyber512,426.075567,0.016262,0.134945,0.016262
Kyber512,427.196602,0.015420,0.150926,0.015420
Kyber512,426.189218,0.016722,0.121824,0.016722
Kyber512,426.266127,0.017053,0.122653,0.017053
Kyber512,426.193748,0.018780,0.177175,0.018780
Kyber512,426.468161,0.016435,0.120380,0.016435
Kyber512,426.554267,0.017086,0.120085,0.017086
Kyber512,426.885928,0.015667,0.124817,0.015667
Kyber512,426.029902,0.013935,0.116162,0.013935
Kyber512,426.975893,0.017348,0.123786,0.017348
Kyber512,425.542633,0.016552,0.174896,0.016552
Kyber512,425.146372,0.014455,0.120062,0.014455
Kyber512,426.094081,0.017808,0.136319,0.017808
Kyber512,426.605653,0.016096,0.123226,0.016096
Kyber512,427.672818,0.017382,0.152648,0.017382
Kyber512,426.419123,0.016797,0.160063,0.016797
Kyber512,427.509280,0.017045,0.134449,0.017045
Kyber512,426.018927,0.012390,0.132717,0.012390
Kyber512,425.532916,0.011594,0.158223,0.011594
Kyber512,426.611002,0.017286,0.165622,0.017286
Kyber512,426.766629,0.019849,0.181010,0.019849
Kyber512,426.206353,0.017437,0.113402,0.017437
Kyber512,426.299051,0.015275,0.123553,0.015275
Kyber512,425.493486,0.016657,0.158472,0.016657
Kyber512,427.663050,0.017031,0.121096,0.017031
Kyber512,426.573565,0.010477,0.144551,0.010477
Kyber512,427.530966,0.015755,0.119584,0.015755
Kyber512,425.510172,0.014934,0.120960,0.014934
Kyber512,426.064239,0.016125,0.219384,0.016125
Kyber512,426.464179,0.010085,0.149066,0.010085
Kyber512,426.906495,0.016494,0.146336,0.016494
Kyber512,427.053647,0.014210,0.124802,0.014210
Kyber512,427.012353,0.013620,0.145864,0.013620
Kyber512,425.776489,0.013364,0.132564,0.013364
Kyber512,426.512769,0.016845,0.124658,0.016845
Kyber512,426.210311,0.017172,0.153803,0.017172
Kyber512,427.624803,0.016482,0.126949,0.016482
Kyber512,425.368207,0.013724,0.122725,0.013724
Kyber512,426.362214,0.015911,0.129996,0.015911
Kyber512,425.273341,0.014721,0.125161,0.014721
Kyber512,425.780328,0.015483,0.126532,0.015483
Kyber512,427.500444,0.013278,0.125431,0.013278
Kyber512,426.719075,0.012137,0.133403,0.012137
Kyber512,426.381435,0.016548,0.131177,0.016548
Kyber512,426.307678,0.012470,0.124386,0.012470
Kyber512,426.142244,0.012188,0.144981,0.012188
Kyber512,426.536790,0.016492,0.125445,0.016492
Kyber512,426.829159,0.015996,0.128345,0.015996
Kyber512,427.408647,0.011999,0.107755,0.011999
Kyber512,427.011387,0.009972,0.141372,0.009972
Kyber512,425.507063,0.010099,0.136145,0.010099
Kyber512,426.486948,0.014087,0.129634,0.014087
Kyber512,426.072152,0.011220,0.142329,0.011220
Kyber512,425.940763,0.017962,0.145368,0.017962
Kyber512,425.591091,0.016725,0.123185,0.016725
Kyber512,426.730939,0.016869,0.129347,0.016869
Kyber512,426.448504,0.015932,0.126283,0.015932
Kyber512,426.714679,0.015479,0.121952,0.015479
Kyber512,425.451724,0.017626,0.123243,0.017626
Kyber512,427.360333,0.014887,0.176558,0.014887
Kyber512,425.390955,0.013109,0.129309,0.013109
Kyber512,427.120753,0.021067,0.133663,0.021067
Kyber512,426.052044,0.016407,0.146364,0.016407
Kyber512,427.317339,0.013901,0.133663,0.013901
Kyber512,425.048246,0.013444,0.140935,0.013444
Kyber512,426.625206,0.018178,0.138397,0.018178
Kyber512,425.693523,0.014419,0.144412,0.014419
Kyber512,426.757014,0.023497,0.134030,0.023497
