KEXAlgo,authAlgo,timingFullProtocol,timingProcessServerHello,timingWriteClientHello
P256_Kyber512,P256_Dilithium2,215.442559,0.014540,0.177318
P256_Kyber512,P256_Dilithium2,214.909558,0.008680,0.235151
P256_Kyber512,P256_Dilithium2,214.261685,0.017952,0.156565
P256_Kyber512,P256_Dilithium2,214.514349,0.016813,0.152374
P256_Kyber512,P256_Dilithium2,215.193353,0.011860,0.157468
P256_Kyber512,P256_Dilithium2,214.030423,0.013035,0.163718
P256_Kyber512,P256_Dilithium2,214.039999,0.014789,0.170354
P256_Kyber512,P256_Dilithium2,214.894318,0.017368,0.161620
P256_Kyber512,P256_Dilithium2,214.756398,0.012605,0.177790
P256_Kyber512,P256_Dilithium2,214.151907,0.015626,0.165158
P256_Kyber512,P256_Dilithium2,214.671229,0.014582,0.279433
P256_Kyber512,P256_Dilithium2,214.684139,0.017872,0.178581
P256_Kyber512,P256_Dilithium2,214.224143,0.011588,0.176858
P256_Kyber512,P256_Dilithium2,214.789007,0.013469,0.158940
P256_Kyber512,P256_Dilithium2,214.886252,0.014035,0.160585
P256_Kyber512,P256_Dilithium2,214.425645,0.014504,0.155756
P256_Kyber512,P256_Dilithium2,214.929230,0.011685,0.155866
P256_Kyber512,P256_Dilithium2,215.269502,0.018377,0.156398
P256_Kyber512,P256_Dilithium2,214.737506,0.016215,0.179126
P256_Kyber512,P256_Dilithium2,214.823243,0.017097,0.181524
P256_Kyber512,P256_Dilithium2,214.550584,0.016910,0.158551
P256_Kyber512,P256_Dilithium2,214.698634,0.013181,0.172406
P256_Kyber512,P256_Dilithium2,214.768907,0.016177,0.184296
P256_Kyber512,P256_Dilithium2,214.339570,0.015023,0.212700
P256_Kyber512,P256_Dilithium2,214.561691,0.009351,0.158739
P256_Kyber512,P256_Dilithium2,214.796056,0.011098,0.155748
P256_Kyber512,P256_Dilithium2,214.760670,0.014247,0.216969
P256_Kyber512,P256_Dilithium2,215.381578,0.011664,0.191866
P256_Kyber512,P256_Dilithium2,214.159961,0.015156,0.177979
P256_Kyber512,P256_Dilithium2,214.809175,0.016549,0.167888
P256_Kyber512,P256_Dilithium2,215.193889,0.017627,0.179964
P256_Kyber512,P256_Dilithium2,214.221806,0.015989,0.171268
P256_Kyber512,P256_Dilithium2,215.012270,0.012990,0.185879
P256_Kyber512,P256_Dilithium2,214.889694,0.015700,0.159519
P256_Kyber512,P256_Dilithium2,214.272162,0.015206,0.183794
P256_Kyber512,P256_Dilithium2,214.599180,0.013511,0.169583
P256_Kyber512,P256_Dilithium2,216.857722,0.013910,0.162735
P256_Kyber512,P256_Dilithium2,214.948827,0.014302,0.221256
P256_Kyber512,P256_Dilithium2,214.829287,0.015211,0.166961
P256_Kyber512,P256_Dilithium2,214.733057,0.017833,0.181296
P256_Kyber512,P256_Dilithium2,214.756847,0.017232,0.176116
P256_Kyber512,P256_Dilithium2,214.630882,0.015868,0.194978
P256_Kyber512,P256_Dilithium2,215.107798,0.010730,0.187438
P256_Kyber512,P256_Dilithium2,215.442696,0.012133,0.168007
P256_Kyber512,P256_Dilithium2,215.205410,0.017489,0.183728
P256_Kyber512,P256_Dilithium2,214.665658,0.016485,0.192775
P256_Kyber512,P256_Dilithium2,215.189949,0.014484,0.166473
P256_Kyber512,P256_Dilithium2,214.122278,0.017255,0.184818
P256_Kyber512,P256_Dilithium2,214.432708,0.014273,0.194197
P256_Kyber512,P256_Dilithium2,214.870132,0.015969,0.157498
P256_Kyber512,P256_Dilithium2,215.037940,0.008963,0.157173
P256_Kyber512,P256_Dilithium2,214.498210,0.011290,0.160086
P256_Kyber512,P256_Dilithium2,215.723890,0.015707,0.157555
P256_Kyber512,P256_Dilithium2,214.909098,0.009288,0.212772
P256_Kyber512,P256_Dilithium2,214.938078,0.014385,0.224217
P256_Kyber512,P256_Dilithium2,215.350664,0.014327,0.215681
P256_Kyber512,P256_Dilithium2,215.460368,0.015333,0.160896
P256_Kyber512,P256_Dilithium2,214.592587,0.011964,0.174048
P256_Kyber512,P256_Dilithium2,214.664991,0.012851,0.187741
P256_Kyber512,P256_Dilithium2,214.523659,0.014598,0.191016
P256_Kyber512,P256_Dilithium2,215.180861,0.014227,0.176754
